,Cumulative Return,Yearly Volatility (mean)
Rolling Sharpe every 3 years,6.640792,0.06624429848695759
Rolling Sharpe every 4 years,7.67818,0.06582392547093799
Rolling Sharpe every 5 years,6.346119,0.05702144439752253
Rolling Sharpe every 6 years,21.985425,0.05766619977746092
Rolling Sharpe every 7 years,12.437508000000001,0.05635252809277937
Rolling Sharpe every 8 years,14.452369000000001,0.06676326375561567
Maximising Sharpe Ratio,8.011826,0.0647206631986241
S&P500,2.883279337001664,0.04109206027222102
USTB,1.6030013645199361,0.00027749786407947364
