ticker,name,compositeFIGI,marketSector,securityType,securityDescription,exchangeCode,shareClassFIGI,sector,industryGroup,industry
1566019D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1567Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1581Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1618Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
162007Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1621582D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1624Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1627457D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1649858D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1654539D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1671Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1680Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1719Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1802Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
183291Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1856Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1953Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1958Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1974Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2009Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
202550Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2036Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
204923Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2106Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
210811Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
210967Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2168Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2196Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2200Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2206Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2218Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2223Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
222435Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2245Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2251Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2254Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2269312Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2282655Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2284Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
228510Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2288005Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2292198Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2307532Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
231079Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
231330Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2340361Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
236555Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2428Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
244630Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
253647Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2576Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2603Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
263179Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2638Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2641504Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2650Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2676187Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2691Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2727195Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2731112Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2745Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
